p1	p2	rg	se	z	p	h2_obs	h2_obs_se	h2_int	h2_int_se	gcov_int	gcov_int_se
neut	glucose					0.0051	0.47	1.0086	0.0136	0.0745	0.0106
neut	hb					0.2042	0.5233	0.9988	0.013	0.1275	0.0096
neut	hdl					-0.4632	0.4337	1.0215	0.0125	-0.1796	0.0106
neut	height					0.3614	0.5811	0.9933	0.015	-0.0603	0.0093
neut	ldl					-0.2165	0.4622	1.0063	0.0155	0.0347	0.0094
neut	mono					0.1729	0.5328	1.0104	0.0139	0.5975	0.0105
neut	plt					0.4666	0.5916	1.0	0.0142	0.3477	0.01
neut	rbc					-2.9982	16.836	1.061	0.4035	0.1856	0.0097
neut	sbp					1.105	0.446	0.9865	0.0129	0.1213	0.0089
neut	smoke										
neut	triglycerides					0.5145	0.4428	1.0016	0.0126	0.2139	0.0095
neut	wbc					-0.9144	0.5375	1.0344	0.0121	0.9289	0.0111
plt	alt					-1.029	0.5813	1.0274	0.0133	0.0704	0.0095
plt	creatinine										
plt	glucose										
plt	hb	-0.3065	1.4451	-0.2121	0.832	0.2042	0.5233	0.9988	0.013	-0.0439	0.0101
plt	hdl					-0.4632	0.4337	1.0215	0.0125	-0.0974	0.0095
plt	sbp	0.1325	0.4905	0.2702	0.787	1.105	0.446	0.9865	0.0129	0.0872	0.0097
plt	wbc					-0.9144	0.5375	1.0344	0.0121	0.4014	0.01
pulse	alt					-1.029	0.5813	1.0274	0.0133	0.0547	0.0102
pulse	ast					-0.8224	0.5602	1.016	0.0134	0.0252	0.0101
pulse	bmi										
pulse	bun	-0.7238	2.1656	-0.3342	0.7382	0.2288	0.531	1.0066	0.0132	-0.0664	0.0108
pulse	cholesterol					-0.3128	0.4189	1.0084	0.0131	-0.0004	0.0089
pulse	creatinine										
pulse	dbp	0.1233	0.6297	0.1959	0.8447	0.8552	0.4356	0.9885	0.0124	0.119	0.0108
pulse	drink										
pulse	eos	0.3159	1.9784	0.1597	0.8731	0.2431	0.769	0.9983	0.0187	0.0301	0.0111
pulse	ggt					-0.9856	0.6272	1.0264	0.0149	0.0737	0.0096
pulse	glucose										
pulse	hb	1.1139	2.4417	0.4562	0.6483	0.2042	0.5233	0.9988	0.013	0.0336	0.0102
pulse	hdl					-0.4632	0.4337	1.0215	0.0125	-0.0191	0.0105
pulse	height	0.4465	1.0686	0.4179	0.6761	0.3614	0.5811	0.9933	0.015	-0.0335	0.009
pulse	ldl					-0.2165	0.4622	1.0063	0.0155	0.0144	0.0087
